商品名称,一级分类,二级分类,7天点击量,定价,订单预定
ASP.NET项目开发实战入门（全彩版）,编程语言与程序设计,ASP.NET,35,69.8,1
PHP项目开发实战入门（全彩版）,编程语言与程序设计,PHP,49,69.8,0
Java精彩编程200例（全彩版）,编程语言与程序设计,Java,51,79.8,2
零基础学PHP（全彩版）,编程语言与程序设计,PHP,64,79.8,1
JSP项目开发实战入门（全彩版）,编程语言与程序设计,JSP/JavaWeb,26,69.8,0
C#精彩编程200例（全彩版）,编程语言与程序设计,C#,60,89.8,1
零基础学C语言（全彩版）,编程语言与程序设计,C++/C语言,227,69.8,11
零基础学JavaScript（全彩版）,网页制作/Web技术,JavaScript,100,79.8,7
C#项目开发实战入门（全彩版）,编程语言与程序设计,C#,122,69.8,3
C语言项目开发实战入门（全彩版）,编程语言与程序设计,C++/C语言,111,59.8,5
零基础学Android（全彩版）,移动开发,Android,85,89.8,4
零基础学C++（全彩版）,编程语言与程序设计,C++/C语言,165,79.8,5
JavaWeb项目开发实战入门（全彩版）,编程语言与程序设计,JSP/JavaWeb,131,69.8,1
零基础学Java（全彩版）,编程语言与程序设计,Java,149,69.8,10
零基础学HTML5+CSS3（全彩版）,网页制作/Web技术,HTML,188,79.8,8
零基础学Python（全彩版）,编程语言与程序设计,Python,1139,79.8,79
Java开发详解（全彩版）,编程语言与程序设计,Java,125,119,1
案例学WEB前端开发（全彩版）,网页制作/Web技术,WEB前端,57,49.8,0
C++项目开发实战入门（全彩版）,编程语言与程序设计,C++/C语言,149,69.8,4
Android精彩编程200例（全彩版）,移动开发,Android,32,89.8,1
零基础学ASP.NET（全彩版）,编程语言与程序设计,ASP.NET,52,79.8,1
Python从入门到项目实践（全彩版）,编程语言与程序设计,Python,597,99.8,25
Python项目开发案例集锦（全彩版）,编程语言与程序设计,Python,474,128,15
Java项目开发实战入门（全彩版）,编程语言与程序设计,Java,83,59.8,3
Android项目开发实战入门（全彩版）,移动开发,Android,85,59.8,2
零基础学Oracle（全彩版）,数据库,Oracle,58,79.8,2
零基础学C#（全彩版）,编程语言与程序设计,C#,132,79.8,8
SQL即查即用（全彩版）,数据库,SQL,128,49.8,13
Android开发详解（全彩版）,移动开发,Android,59,119,0
玩转C语言程序设计（全彩版）,编程语言与程序设计,C++/C语言,27,49.8,2
Python编程锦囊（全彩版）,编程语言与程序设计,Python,239,79.8,13
C语言精彩编程200例（全彩版）,编程语言与程序设计,C++/C语言,45,79.8,1
Visual Basic精彩编程200例（全彩版）,编程语言与程序设计,Visual Basic,28,79.8,0
